scenario_name,mode,shards,ops,concurrency,writeRatio,throughput_ops_s,writes,reads,errs,avgLatency_ms,timestamp,notes

baseline_light_run1,single,1,1000,10,0.5,2088.44,502,498,0,2.95,2025-10-05T04:11:20Z,
baseline_light_run1,sharded,3,1000,10,0.5,5416.10,499,501,0,1.52,2025-10-05T04:11:34Z,
typical_webapp_run1,single,1,10000,50,0.3,6391.98,2993,7007,0,5.87,2025-10-05T04:12:05Z,
typical_webapp_run1,sharded,3,10000,50,0.3,7312.09,2937,7063,0,5.25,2025-10-05T04:12:20Z,
read_heavy_cachelike_run1,single,1,10000,100,0.1,7983.53,987,9013,0,7.00,2025-10-05T04:12:51Z,
read_heavy_cachelike_run1,sharded,3,10000,100,0.1,15538.41,1039,8961,0,4.34,2025-10-05T04:13:05Z,
write_heavy_ingest_run1,single,1,10000,50,0.9,4519.59,8994,1006,0,8.27,2025-10-05T04:13:37Z,
write_heavy_ingest_run1,sharded,3,10000,50,0.9,4901.00,8974,1026,0,9.31,2025-10-05T04:13:53Z,
bursty_spike_run1,single,1,2000,200,0.5,2394.75,992,1008,0,28.43,2025-10-05T04:14:24Z,
bursty_spike_run1,sharded,3,2000,200,0.5,4071.57,992,1008,0,26.54,2025-10-05T04:14:38Z,
sustained_stress_run1,single,1,50000,200,0.5,5348.22,25097,24903,0,35.57,2025-10-05T04:15:17Z,
sustained_stress_run1,sharded,3,50000,200,0.5,9608.47,25048,24952,0,19.68,2025-10-05T04:15:36Z,
many_clients_run1,single,1,10000,500,0.5,4596.34,4932,4984,84,99.56,2025-10-05T04:16:08Z,
many_clients_run1,sharded,3,10000,500,0.5,5669.76,4926,4988,86,73.80,2025-10-05T04:16:23Z,
long_run_highvol_run1,single,1,100000,100,0.6,5150.38,60047,39953,0,18.25,2025-10-05T04:17:12Z,
long_run_highvol_run1,sharded,3,100000,100,0.6,8719.55,60065,39935,0,11.18,2025-10-05T04:17:37Z,
shard_scaling_base_run1,single,1,20000,100,0.6,5857.25,11909,8091,0,14.53,2025-10-05T04:18:11Z,
shard_scaling_base_run1,sharded,3,20000,100,0.6,7030.72,11958,8042,0,13.00,2025-10-05T04:18:27Z,
shard_scaling_base_shards5_run1,single,1,20000,100,0.6,5935.15,11976,8024,0,14.34,2025-10-05T04:19:00Z,
shard_scaling_base_shards5_run1,sharded,5,20000,100,0.6,4786.95,12000,8000,0,18.80,2025-10-05T04:19:18Z,